epoch,accuracy,loss,val_accuracy,val_loss
0,0.10880186,4.772481745289929,0.34632447,3.7100218730885417
1,0.3403755,3.471554946051944,0.55937105,2.3902130234226378
2,0.46935326,2.7214515228023664,0.6518932,1.8890459613806092
3,0.5496607,2.3192007185857673,0.69657004,1.638511571820698
4,0.60554045,2.0494851049989173,0.73245406,1.465020235613725
5,0.6455621,1.8544725385526823,0.75360423,1.352465121125087
6,0.6772916,1.7020623741476801,0.76988274,1.271816344655512
7,0.7050334,1.5716820100345632,0.77982414,1.210203920574847
8,0.72712386,1.458944613131363,0.7873495,1.1650059014294387
9,0.74633586,1.3634351985802802,0.7957462,1.1091074310101483
10,0.7663929,1.270036730294836,0.7982811,1.0843791040593076
11,0.78041565,1.1908862564912372,0.8035488,1.0553887585232316
12,0.79637945,1.1231870869943967,0.8056876,1.0363264951113664
13,0.81339955,1.0482483012957617,0.8077471,1.0212438391717518
14,0.8248343,0.9912314347010441,0.8071134,1.0090031440833676
15,0.83821005,0.9290215062289807,0.80770755,0.9982456421557488
16,0.8503446,0.8743618737433904,0.811391,0.9835895776219845
17,0.8609607,0.8273384932131594,0.8136486,0.9692756973480846
18,0.87231624,0.7763697438273169,0.8130941,0.9629917414658272
19,0.8819685,0.7314673144574255,0.8128961,0.9651886801907016
20,0.89201677,0.6907867896288321,0.8163023,0.9499785524281863
21,0.9003354,0.6514488024981968,0.8161439,0.9432384670913899
22,0.9098952,0.613762554167996,0.8124604,0.9568485987805897
23,0.91727626,0.5803682914511706,0.8144407,0.9542125596066392
24,0.9239047,0.5485409936116118,0.8128961,0.9545852811806405
25,0.93107456,0.5195581186018253,0.8136486,0.9530372006490505
26,0.93588084,0.4952073748068218,0.81440115,0.9531526741476113
27,0.9410701,0.47106533048868615,0.8137278,0.947439434637135
28,0.94788337,0.4447980797403819,0.8144407,0.9523200215948852
